"","Word","Group","Speaker","Rater","Natural","Intell","vowel","cons"
"148","lani","CON","CON04","Rater24",75,82,"a","alv"
"149","lani","CON","CON04","Rater25",76,88,"a","alv"
"150","lani","CON","CON04","Rater26",67,59,"a","alv"
"151","lani","CON","CON04","Rater27",35,83,"a","alv"
"152","lani","CON","CON04","Rater28",74,75,"a","alv"
"153","lani","CON","CON04","Rater29",57,30,"a","alv"
"154","lani","CON","CON04","Rater30",69,41,"a","alv"
"155","lani","CON","CON04","Rater31",89,87,"a","alv"
"156","lani","CON","CON04","Rater32",68,32,"a","alv"
"157","lani","CON","CON04","Rater33",87,93,"a","alv"
"158","lani","CON","CON04","Rater34",60,54,"a","alv"
"159","lani","CON","CON04","Rater35",88,85,"a","alv"
"160","lani","CON","CON04","Rater36",101,101,"a","alv"
"161","lani","CON","CON04","Rater37",101,97,"a","alv"
"162","lani","CON","CON04","Rater38",93,95,"a","alv"
"163","lani","CON","CON04","Rater39",50,101,"a","alv"
"164","lani","CON","CON04","Rater40",73,71,"a","alv"
"165","lani","CON","CON04","Rater41",47,58,"a","alv"
"166","lani","CON","CON08","Rater1",39,92,"a","alv"
"167","lani","CON","CON08","Rater2",90,101,"a","alv"
"168","lani","CON","CON08","Rater3",101,101,"a","alv"
"169","lani","CON","CON08","Rater4",76,82,"a","alv"
"170","lani","CON","CON08","Rater5",101,97,"a","alv"
"171","lani","CON","CON08","Rater6",101,101,"a","alv"
"172","lani","CON","CON08","Rater7",95,99,"a","alv"
"173","lani","CON","CON08","Rater8",101,101,"a","alv"
"174","lani","CON","CON08","Rater9",77,96,"a","alv"
"175","lani","CON","CON08","Rater10",90,90,"a","alv"
"176","lani","CON","CON08","Rater11",57,84,"a","alv"
"177","lani","CON","CON08","Rater12",101,101,"a","alv"
"178","lani","CON","CON08","Rater13",85,87,"a","alv"
"179","lani","CON","CON08","Rater14",90,101,"a","alv"
"180","lani","CON","CON08","Rater15",60,77,"a","alv"
"181","lani","CON","CON08","Rater16",101,101,"a","alv"
"182","lani","CON","CON08","Rater17",76,75,"a","alv"
"183","lani","CON","CON08","Rater18",86,88,"a","alv"
"184","lani","CON","CON08","Rater19",69,60,"a","alv"
"185","lani","CON","CON08","Rater20",55,96,"a","alv"
"186","lani","CON","CON08","Rater21",73,76,"a","alv"
"187","lani","CON","CON08","Rater22",52,38,"a","alv"
"188","lani","CON","CON08","Rater23",100,101,"a","alv"
"189","lani","CON","CON08","Rater24",83,94,"a","alv"
"190","lani","CON","CON08","Rater25",80,76,"a","alv"
"191","lani","CON","CON08","Rater26",96,98,"a","alv"
"192","lani","CON","CON08","Rater27",62,101,"a","alv"
"193","lani","CON","CON08","Rater28",80,90,"a","alv"
"194","lani","CON","CON08","Rater29",95,101,"a","alv"
"195","lani","CON","CON08","Rater30",57,57,"a","alv"
"196","lani","CON","CON08","Rater31",93,48,"a","alv"
"197","lani","CON","CON08","Rater32",69,92,"a","alv"
"198","lani","CON","CON08","Rater33",101,100,"a","alv"
"199","lani","CON","CON08","Rater34",99,101,"a","alv"
"200","lani","CON","CON08","Rater35",75,91,"a","alv"
"201","lani","CON","CON08","Rater36",101,96,"a","alv"
"202","lani","CON","CON08","Rater37",95,101,"a","alv"
"203","lani","CON","CON08","Rater38",59,75,"a","alv"
"204","lani","CON","CON08","Rater39",92,93,"a","alv"
"205","lani","CON","CON08","Rater40",60,76,"a","alv"
"206","lani","CON","CON08","Rater41",90,93,"a","alv"
"207","lani","CON","CON05","Rater1",75,61,"a","alv"
"208","lani","CON","CON05","Rater2",19,48,"a","alv"
"209","lani","CON","CON05","Rater3",91,91,"a","alv"
"210","lani","CON","CON05","Rater4",89,89,"a","alv"
"211","lani","CON","CON05","Rater5",33,96,"a","alv"
"212","lani","CON","CON05","Rater6",90,101,"a","alv"
"213","lani","CON","CON05","Rater7",10,18,"a","alv"
"214","lani","CON","CON05","Rater8",95,93,"a","alv"
"215","lani","CON","CON05","Rater9",95,97,"a","alv"
"216","lani","CON","CON05","Rater10",59,39,"a","alv"
"217","lani","CON","CON05","Rater11",83,82,"a","alv"
"218","lani","CON","CON05","Rater12",92,76,"a","alv"
"219","lani","CON","CON05","Rater13",95,98,"a","alv"
"220","lani","CON","CON05","Rater14",71,82,"a","alv"
"221","lani","CON","CON05","Rater15",67,56,"a","alv"
"222","lani","CON","CON05","Rater16",62,86,"a","alv"
"223","lani","CON","CON05","Rater17",101,96,"a","alv"
"224","lani","CON","CON05","Rater18",96,87,"a","alv"
"225","lani","CON","CON05","Rater19",76,84,"a","alv"
"226","lani","CON","CON05","Rater20",48,101,"a","alv"
"227","lani","CON","CON05","Rater21",75,101,"a","alv"
"228","lani","CON","CON05","Rater22",52,101,"a","alv"
"229","lani","CON","CON05","Rater23",43,101,"a","alv"
"230","lani","CON","CON05","Rater24",56,74,"a","alv"
"231","lani","CON","CON05","Rater25",92,82,"a","alv"
"232","lani","CON","CON05","Rater26",101,97,"a","alv"
"233","lani","CON","CON05","Rater27",64,60,"a","alv"
"234","lani","CON","CON05","Rater28",35,69,"a","alv"
"235","lani","CON","CON05","Rater29",97,101,"a","alv"
"236","lani","CON","CON05","Rater30",84,47,"a","alv"
"237","lani","CON","CON05","Rater31",68,71,"a","alv"
"238","lani","CON","CON05","Rater32",69,65,"a","alv"
"239","lani","CON","CON05","Rater33",94,99,"a","alv"
"240","lani","CON","CON05","Rater34",84,75,"a","alv"
"241","lani","CON","CON05","Rater35",92,93,"a","alv"
"242","lani","CON","CON05","Rater36",88,101,"a","alv"
"243","lani","CON","CON05","Rater37",42,75,"a","alv"
"244","lani","CON","CON05","Rater38",101,85,"a","alv"
"245","lani","CON","CON05","Rater39",55,97,"a","alv"
"246","lani","CON","CON05","Rater40",101,101,"a","alv"
"247","lani","CON","CON05","Rater41",97,90,"a","alv"
"248","lani","CON","CON05","Rater42",90,35,"a","alv"
"249","lani","CON","CON12","Rater1",95,97,"a","alv"
"250","lani","CON","CON12","Rater2",82,80,"a","alv"
"251","lani","CON","CON12","Rater3",68,84,"a","alv"
"252","lani","CON","CON12","Rater4",68,69,"a","alv"
"253","lani","CON","CON12","Rater5",93,100,"a","alv"
"254","lani","CON","CON12","Rater6",77,72,"a","alv"
"255","lani","CON","CON12","Rater7",84,93,"a","alv"
"256","lani","CON","CON12","Rater8",98,101,"a","alv"
"257","lani","CON","CON12","Rater9",96,99,"a","alv"
"258","lani","CON","CON12","Rater10",44,88,"a","alv"
"259","lani","CON","CON12","Rater11",68,49,"a","alv"
"260","lani","CON","CON12","Rater12",101,101,"a","alv"
"261","lani","CON","CON12","Rater13",56,61,"a","alv"
"262","lani","CON","CON12","Rater14",101,98,"a","alv"
"263","lani","CON","CON12","Rater15",81,81,"a","alv"
"264","lani","CON","CON12","Rater16",101,101,"a","alv"
"265","lani","CON","CON12","Rater17",68,81,"a","alv"
"266","lani","CON","CON12","Rater18",84,84,"a","alv"
"267","lani","CON","CON12","Rater19",74,18,"a","alv"
"268","lani","CON","CON12","Rater20",27,59,"a","alv"
"269","lani","CON","CON12","Rater21",73,91,"a","alv"
"270","lani","CON","CON12","Rater22",96,98,"a","alv"
"271","lani","CON","CON12","Rater23",35,101,"a","alv"
"272","lani","CON","CON12","Rater24",101,94,"a","alv"
"273","lani","CON","CON12","Rater25",101,101,"a","alv"
"274","lani","CON","CON12","Rater26",101,101,"a","alv"
"275","lani","CON","CON12","Rater27",101,101,"a","alv"
"276","lani","CON","CON12","Rater28",88,95,"a","alv"
"277","lani","CON","CON12","Rater29",101,100,"a","alv"
"278","lani","CON","CON12","Rater30",65,69,"a","alv"
"279","lani","CON","CON12","Rater31",101,101,"a","alv"
"280","lani","CON","CON12","Rater32",99,94,"a","alv"
"281","lani","CON","CON12","Rater33",70,65,"a","alv"
"282","lani","CON","CON12","Rater34",86,78,"a","alv"
"283","lani","CON","CON12","Rater35",99,95,"a","alv"
"284","lani","CON","CON12","Rater36",84,96,"a","alv"
"285","lani","CON","CON12","Rater37",79,86,"a","alv"
"286","lani","CON","CON12","Rater38",83,83,"a","alv"
"287","lani","CON","CON12","Rater39",93,93,"a","alv"
"288","lani","CON","CON12","Rater40",98,98,"a","alv"
"289","lani","CON","CON12","Rater41",101,101,"a","alv"
"290","lani","CON","CON03","Rater1",97,101,"a","alv"
"291","lani","CON","CON03","Rater2",65,91,"a","alv"
"292","lani","CON","CON03","Rater3",86,96,"a","alv"
"293","lani","CON","CON03","Rater4",32,24,"a","alv"
"294","lani","CON","CON03","Rater5",68,56,"a","alv"
"295","lani","CON","CON03","Rater6",46,39,"a","alv"
"296","lani","CON","CON03","Rater7",59,78,"a","alv"
"297","lani","CON","CON03","Rater8",77,77,"a","alv"
"298","lani","CON","CON03","Rater9",90,94,"a","alv"
"299","lani","CON","CON03","Rater10",55,63,"a","alv"
"300","lani","CON","CON03","Rater11",92,100,"a","alv"
"301","lani","CON","CON03","Rater12",69,58,"a","alv"
"302","lani","CON","CON03","Rater13",17,84,"a","alv"
"303","lani","CON","CON03","Rater14",101,101,"a","alv"
"304","lani","CON","CON03","Rater15",97,81,"a","alv"
"305","lani","CON","CON03","Rater16",58,66,"a","alv"
"306","lani","CON","CON03","Rater17",43,76,"a","alv"
"307","lani","CON","CON03","Rater18",90,95,"a","alv"
"308","lani","CON","CON03","Rater19",78,86,"a","alv"
"309","lani","CON","CON03","Rater20",79,101,"a","alv"
"310","lani","CON","CON03","Rater21",100,101,"a","alv"
"311","lani","CON","CON03","Rater22",76,83,"a","alv"
"312","lani","CON","CON03","Rater23",87,93,"a","alv"
